id,address_line,cluster_name,country,lat,lon,building_type,occupancy_class,appraised_value_sgd,floor_level,elevation_m,dist_to_coast_km,adaptation_project_id
CN-NS-002,"15 Fengze Road, Nansha, Guangzhou","Nansha, Guangzhou",CN,22.760174,113.552258,office_tower,rc_highrise,17700000,16,2.9,5.51,
CN-NS-003,"89 Jinmao Avenue, Nansha, Guangzhou","Nansha, Guangzhou",CN,22.760209,113.526105,residential_highrise_rc,rc_highrise,860000,4,3.9,10.01,
CN-NS-004,"86 Jinmao Avenue, Nansha, Guangzhou","Nansha, Guangzhou",CN,22.765841,113.521957,office_tower,rc_highrise,11300000,32,2.8,4.89,
CN-NS-005,"61 Nansha Avenue, Nansha, Guangzhou","Nansha, Guangzhou",CN,22.771054,113.536559,residential_landed,lowrise_industrial,1090000,2,2.9,7.13,
CN-NS-006,"167 Huangge Avenue, Nansha, Guangzhou","Nansha, Guangzhou",CN,22.760811,113.53708,residential_highrise_rc,rc_highrise,850000,29,2.6,5.19,
CN-NS-007,"110 Haibin Road, Nansha, Guangzhou","Nansha, Guangzhou",CN,22.766149,113.559404,residential_highrise_rc,rc_highrise,1450000,8,4.2,9.73,
CN-NS-008,"107 Huangge Avenue, Nansha, Guangzhou","Nansha, Guangzhou",CN,22.78354,113.539603,industrial_warehouse,lowrise_industrial,24600000,1,1.5,4.76,
CN-QH-001,"204 Qianwan First Road, Qianhai, Shenzhen","Qianhai, Shenzhen",CN,22.53071,113.883059,office_tower,rc_highrise,30200000,26,5.4,1.86,
CN-QH-002,"257 Menghai Avenue, Qianhai, Shenzhen","Qianhai, Shenzhen",CN,22.541767,113.896522,office_tower,rc_highrise,63100000,1,6.1,2.37,
CN-QH-003,"284 Qianwan First Road, Qianhai, Shenzhen","Qianhai, Shenzhen",CN,22.541259,113.89447,residential_highrise_rc,rc_highrise,2330000,31,7.5,2.5,
CN-QH-004,"287 Linhai Avenue, Qianhai, Shenzhen","Qianhai, Shenzhen",CN,22.526952,113.885654,residential_highrise_rc,rc_highrise,1550000,4,6.2,1.52,
CN-QH-005,"197 Baohua Road, Qianhai, Shenzhen","Qianhai, Shenzhen",CN,22.528219,113.898957,residential_highrise_rc,rc_highrise,1890000,40,8.0,2.52,
CN-QH-006,"323 Menghai Avenue, Qianhai, Shenzhen","Qianhai, Shenzhen",CN,22.526055,113.89431,office_tower,rc_highrise,19000000,10,7.8,2.71,
CN-QH-007,"243 Linhai Avenue, Qianhai, Shenzhen","Qianhai, Shenzhen",CN,22.532304,113.885857,residential_highrise_rc,rc_highrise,2110000,40,5.6,1.58,
CN-XM-001,"269 Huandao Road, Siming, Xiamen",Xiamen,CN,24.489762,118.075841,retail_podium,rc_highrise,24800000,3,10.2,1.73,
CN-XM-002,"371 Huandao Road, Siming, Xiamen",Xiamen,CN,24.4871,118.090812,residential_landed,lowrise_industrial,1160000,2,5.1,0.61,
CN-XM-003,"219 Hubin South Road, Siming, Xiamen",Xiamen,CN,24.478305,118.096203,residential_highrise_rc,rc_highrise,1180000,20,16.3,2.16,
CN-XM-004,"183 Huandao Road, Siming, Xiamen",Xiamen,CN,24.482322,118.101079,residential_highrise_rc,rc_highrise,1680000,38,11.5,1.49,
CN-XM-005,"305 Jiahe Road, Siming, Xiamen",Xiamen,CN,24.488385,118.101931,residential_highrise_rc,rc_highrise,1500000,9,6.1,1.28,
CN-NB-001,"232 Zhongshan East Road, Yinzhou, Ningbo",Ningbo,CN,29.85913,121.539614,residential_landed,lowrise_industrial,1620000,1,7.9,18.92,
CN-NB-002,"282 Sanjiangkou Road, Yinzhou, Ningbo",Ningbo,CN,29.860923,121.542634,residential_highrise_rc,rc_highrise,1290000,20,2.3,7.39,
CN-NB-003,"368 Sanjiangkou Road, Yinzhou, Ningbo",Ningbo,CN,29.877795,121.536791,residential_highrise_rc,rc_highrise,980000,15,7.6,17.84,
CN-NB-004,"169 Baizhang Road, Yinzhou, Ningbo",Ningbo,CN,29.875667,121.546975,residential_highrise_rc,rc_highrise,1310000,33,2.2,8.67,
CN-NB-005,"161 Heyi Avenue, Yinzhou, Ningbo",Ningbo,CN,29.862486,121.545903,retail_podium,rc_highrise,17200000,4,2.9,12.04,
HK-TK-001,"57 Pui Shing Road, Tseung Kwan O, New Territories",Tseung Kwan O,HK,22.32219,114.26604,residential_highrise_rc,rc_highrise,1310000,7,3.8,0.56,hk-drainage-tunnels
HK-TK-002,"352 Pui Shing Road, Tseung Kwan O, New Territories",Tseung Kwan O,HK,22.309308,114.262195,residential_highrise_rc,rc_highrise,2490000,4,11.6,1.52,
HK-TK-003,"96 Tong Chun Street, Tseung Kwan O, New Territories",Tseung Kwan O,HK,22.311441,114.26124,residential_highrise_rc,rc_highrise,1860000,18,6.3,1.0,hk-drainage-tunnels
HK-TK-004,"111 Po Yap Road, Tseung Kwan O, New Territories",Tseung Kwan O,HK,22.322076,114.258575,industrial_warehouse,lowrise_industrial,21000000,1,8.0,1.32,hk-drainage-tunnels
HK-TK-005,"54 Pui Shing Road, Tseung Kwan O, New Territories",Tseung Kwan O,HK,22.315601,114.250368,industrial_warehouse,lowrise_industrial,23900000,1,11.4,1.9,
HK-TK-006,"125 Wan Po Road, Tseung Kwan O, New Territories",Tseung Kwan O,HK,22.308646,114.269174,residential_highrise_rc,rc_highrise,2590000,22,5.9,0.75,
HK-HF-001,"84 Heng Fa Chuen Road, Chai Wan, Hong Kong Island",Heng Fa Chuen / Chai Wan,HK,22.275269,114.244112,industrial_warehouse,lowrise_industrial,17000000,2,6.1,0.98,
HK-HF-002,"234 Sheung On Street, Chai Wan, Hong Kong Island",Heng Fa Chuen / Chai Wan,HK,22.280416,114.239884,residential_highrise_rc,rc_highrise,1730000,6,3.9,0.54,
HK-HF-003,"279 Wan Tsui Road, Chai Wan, Hong Kong Island",Heng Fa Chuen / Chai Wan,HK,22.279962,114.240079,residential_highrise_rc,rc_highrise,1590000,26,4.3,0.68,hk-drainage-tunnels
HK-HF-004,"214 Heng Fa Chuen Road, Chai Wan, Hong Kong Island",Heng Fa Chuen / Chai Wan,HK,22.277597,114.237895,residential_highrise_rc,rc_highrise,2180000,27,4.3,0.77,hk-drainage-tunnels
HK-HF-005,"307 Hong Man Street, Chai Wan, Hong Kong Island",Heng Fa Chuen / Chai Wan,HK,22.282757,114.231212,residential_highrise_rc,rc_highrise,1520000,15,4.6,0.47,
HK-KT-001,"79 Sheung Yuet Road, Kai Tak, Kowloon",Kai Tak,HK,22.330961,114.206597,residential_highrise_rc,rc_highrise,2270000,32,7.9,1.18,
HK-KT-002,"289 Muk On Street, Kai Tak, Kowloon",Kai Tak,HK,22.33,114.202325,residential_highrise_rc,rc_highrise,2360000,24,6.6,0.92,hk-drainage-tunnels
HK-KT-003,"82 Concorde Road, Kai Tak, Kowloon",Kai Tak,HK,22.337259,114.199002,office_tower,rc_highrise,26900000,2,7.6,1.09,hk-drainage-tunnels
HK-KT-004,"309 Olympic Avenue, Kai Tak, Kowloon",Kai Tak,HK,22.333902,114.199575,office_tower,rc_highrise,57100000,20,3.9,0.73,
HK-KT-005,"376 Muk On Street, Kai Tak, Kowloon",Kai Tak,HK,22.334964,114.206399,residential_highrise_rc,rc_highrise,3010000,20,5.6,0.72,
HK-TP-001,"238 Tai Po Tai Wo Road, Tai Po, New Territories",Tai Po / Sha Tin,HK,22.454638,114.157896,retail_podium,rc_highrise,23100000,1,33.2,2.42,hk-drainage-tunnels
HK-TP-002,"13 Sha Tin Rural Committee Road, Tai Po, New Territories",Tai Po / Sha Tin,HK,22.464562,114.174354,residential_landed,lowrise_industrial,2740000,3,41.1,3.58,
HK-TP-003,"91 Sha Tin Rural Committee Road, Tai Po, New Territories",Tai Po / Sha Tin,HK,22.458954,114.166466,residential_landed,lowrise_industrial,2810000,2,36.6,2.79,hk-drainage-tunnels
HK-TP-004,"250 Ting Kok Road, Tai Po, New Territories",Tai Po / Sha Tin,HK,22.439336,114.167958,residential_highrise_rc,rc_highrise,2370000,23,12.3,1.65,hk-drainage-tunnels
HK-TP-005,"301 Sha Tin Rural Committee Road, Tai Po, New Territories",Tai Po / Sha Tin,HK,22.42645,114.183812,residential_landed,lowrise_industrial,1780000,2,37.9,2.84,
HK-TC-001,"306 Ying Tung Road, Tung Chung, Lantau",Tung Chung,HK,22.284808,113.94639,retail_podium,rc_highrise,14300000,4,6.0,0.69,
HK-TC-002,"316 Ying Tung Road, Tung Chung, Lantau",Tung Chung,HK,22.290416,113.950699,residential_highrise_rc,rc_highrise,1450000,23,13.8,1.07,hk-drainage-tunnels
HK-TC-003,"178 Chung Yan Road, Tung Chung, Lantau",Tung Chung,HK,22.297543,113.951672,residential_highrise_rc,rc_highrise,1930000,23,9.9,0.84,
HK-TC-004,"396 Tat Tung Road, Tung Chung, Lantau",Tung Chung,HK,22.287374,113.951564,residential_highrise_rc,rc_highrise,1550000,27,8.7,1.07,hk-drainage-tunnels
